EventTrackSequentialID;OwnerIdentity;StorageDate;Category;Action
100;carnabelo@msging.net;2018-02-02 13:51:59.72 -02:00;Flow;Boas vindas
101;carnabelo@msging.net;2018-02-02 13:52:10.89 -02:00;Flow;Objetivo - Beber
102;carnabelo@msging.net;2018-02-02 13:52:10.98 -02:00;Objetivo;Beber
103;carnabelo@msging.net;2018-02-02 13:52:13.15 -02:00;Flow;Intro
104;carnabelo@msging.net;2018-02-02 13:52:17.34 -02:00;Flow;Menu
105;carnabelo@msging.net;2018-02-02 13:52:24.82 -02:00;Flow;Selecionar data
106;carnabelo@msging.net;2018-02-02 13:52:35.38 -02:00;Pesquisa - Dia;10/02/2018
107;carnabelo@msging.net;2018-02-02 13:52:35.49 -02:00;Flow;API -  Carrossel - Bairro
108;carnabelo@msging.net;2018-02-02 13:52:44.97 -02:00;Flow;API  - Carrossel blocos  - Agenda
109;carnabelo@msging.net;2018-02-02 13:52:45.08 -02:00;Pesquisa - Bairro;São Pedro
110;carnabelo@msging.net;2018-02-02 13:53:00.28 -02:00;Flow;Respostas para carrossel
111;carnabelo@msging.net;2018-02-02 13:53:00.55 -02:00;Flow;Fallback - Nome de Bloco
112;carnabelo@msging.net;2018-02-02 13:53:00.72 -02:00;Flow;Fallback  - IA
113;carnabelo@msging.net;2018-02-02 13:53:01.91 -02:00;Flow;IA - QualSeuNome
114;carnabelo@msging.net;2018-02-02 13:53:13.56 -02:00;Flow;Fallback - Nome de Bloco
115;carnabelo@msging.net;2018-02-02 13:53:13.75 -02:00;Flow;Fallback  - IA
116;carnabelo@msging.net;2018-02-02 13:53:14.36 -02:00;Flow;IA - Quero
117;carnabelo@msging.net;2018-02-02 13:53:14.52 -02:00;Flow;IA - Quero - Diversos
118;carnabelo@msging.net;2018-02-02 14:01:21.67 -02:00;Flow;Fallback - Nome de Bloco
119;carnabelo@msging.net;2018-02-02 14:01:21.81 -02:00;Flow;Fallback  - IA
120;carnabelo@msging.net;2018-02-02 14:01:22.61 -02:00;Flow;Verificar - Saudacao
121;carnabelo@msging.net;2018-02-02 14:01:22.78 -02:00;Flow;Boa tarde
122;carnabelo@msging.net;2018-02-02 14:01:23.99 -02:00;Flow;Saudacao
123;carnabelo@msging.net;2018-02-02 14:01:25.35 -02:00;Flow;Ver outros blocos
124;carnabelo@msging.net;2018-02-02 14:01:25.50 -02:00;Flow;Selecionar data
125;carnabelo@msging.net;2018-02-02 14:01:26.35 -02:00;Flow;Menu
126;carnabelo@msging.net;2018-02-02 14:01:30.27 -02:00;Pesquisa - Dia;10/02/2018
127;carnabelo@msging.net;2018-02-02 14:01:30.38 -02:00;Flow;API -  Carrossel - Bairro
128;carnabelo@msging.net;2018-02-02 14:01:32.79 -02:00;Flow;Verificar - Saudacao
129;carnabelo@msging.net;2018-02-02 14:01:32.90 -02:00;Flow;Boa tarde
130;carnabelo@msging.net;2018-02-02 14:01:34.02 -02:00;Flow;Saudacao
131;carnabelo@msging.net;2018-02-02 14:01:35.50 -02:00;Flow;API  - Carrossel blocos  - Agenda
132;carnabelo@msging.net;2018-02-02 14:01:35.61 -02:00;Pesquisa - Bairro;Centro
133;carnabelo@msging.net;2018-02-02 14:01:36.35 -02:00;Flow;Menu
134;carnabelo@msging.net;2018-02-02 14:01:58.33 -02:00;Pesquisa - Dia;📅 Agenda
135;carnabelo@msging.net;2018-02-02 14:01:58.56 -02:00;Flow;Selecionar data
136;carnabelo@msging.net;2018-02-02 14:01:58.56 -02:00;Flow;API - Consultar blocos hoje
137;carnabelo@msging.net;2018-02-02 14:01:58.78 -02:00;Flow;Intro - O que tem hoje
138;carnabelo@msging.net;2018-02-02 14:01:59.94 -02:00;Flow;API  - Carrossel blocos -  Hoje
139;carnabelo@msging.net;2018-02-02 14:02:05.84 -02:00;Pesquisa - Dia;12/02/2018
140;carnabelo@msging.net;2018-02-02 14:02:05.93 -02:00;Flow;API -  Carrossel - Bairro
141;carnabelo@msging.net;2018-02-02 14:02:14.12 -02:00;Flow;API  - Carrossel blocos  - Agenda
142;carnabelo@msging.net;2018-02-02 14:02:14.22 -02:00;Pesquisa - Bairro;Floresta
143;carnabelo@msging.net;2018-02-02 14:02:14.19 -02:00;Flow;Fallback - Nome de Bloco
144;carnabelo@msging.net;2018-02-02 14:02:14.34 -02:00;Flow;Fallback  - IA
145;carnabelo@msging.net;2018-02-02 14:02:16.27 -02:00;Flow;API - Verificar - Nome do Bloco
146;carnabelo@msging.net;2018-02-02 14:02:16.70 -02:00;Flow;Erro padrao
147;carnabelo@msging.net;2018-02-02 14:06:11.69 -02:00;Flow;Boas vindas
148;carnabelo@msging.net;2018-02-02 14:06:25.30 -02:00;Flow;Objetivo - Dancar
149;carnabelo@msging.net;2018-02-02 14:06:25.44 -02:00;Objetivo;Dancar
150;carnabelo@msging.net;2018-02-02 14:06:27.63 -02:00;Flow;Intro
151;carnabelo@msging.net;2018-02-02 14:06:31.83 -02:00;Flow;Menu
152;carnabelo@msging.net;2018-02-02 14:09:24.60 -02:00;Flow;API  - Consultar - Meus blocos
153;carnabelo@msging.net;2018-02-02 14:09:24.74 -02:00;Flow;Sem blocos salvos
154;carnabelo@msging.net;2018-02-02 14:09:35.28 -02:00;Flow;Enviar localizacao
155;carnabelo@msging.net;2018-02-02 14:09:41.72 -02:00;Flow;Respostas para carrossel
156;carnabelo@msging.net;2018-02-02 14:09:41.85 -02:00;Flow;API - Buscar info do bloco
157;carnabelo@msging.net;2018-02-02 14:09:42.75 -02:00;Flow;API - Salvar - Bloco
158;carnabelo@msging.net;2018-02-02 14:09:42.85 -02:00;Eu vou;Bloco do Pirulito
159;carnabelo@msging.net;2018-02-02 14:09:44.22 -02:00;Flow;Criar lista de distribuicao
160;carnabelo@msging.net;2018-02-02 14:09:44.35 -02:00;Flow;Verificar - Horario bloco
161;carnabelo@msging.net;2018-02-02 14:09:44.49 -02:00;Flow;Bloco - Ja Comecou
162;carnabelo@msging.net;2018-02-02 14:09:52.51 -02:00;Flow;API - Consultar  blocos -  Localizacao
163;carnabelo@msging.net;2018-02-02 14:09:52.65 -02:00;Flow;API - Carrossel blocos -  Localizacao
164;carnabelo@msging.net;2018-02-02 14:10:09.66 -02:00;Flow;Menu
165;carnabelo@msging.net;2018-02-02 14:10:15.21 -02:00;Flow;Enviar localizacao
166;carnabelo@msging.net;2018-02-02 14:10:32.99 -02:00;Flow;API - Consultar  blocos -  Localizacao
167;carnabelo@msging.net;2018-02-02 14:10:33.13 -02:00;Flow;API - Carrossel blocos -  Localizacao
168;carnabelo@msging.net;2018-02-02 14:10:51.65 -02:00;Flow;Respostas para carrossel
169;carnabelo@msging.net;2018-02-02 14:10:51.80 -02:00;Flow;API - Buscar info do bloco
170;carnabelo@msging.net;2018-02-02 14:10:52.04 -02:00;Flow;API - Salvar - Bloco
171;carnabelo@msging.net;2018-02-02 14:10:52.13 -02:00;Eu vou;Blocão Pet
172;carnabelo@msging.net;2018-02-02 14:10:53.26 -02:00;Flow;Criar lista de distribuicao
173;carnabelo@msging.net;2018-02-02 14:10:53.38 -02:00;Flow;Verificar - Horario bloco
174;carnabelo@msging.net;2018-02-02 14:10:53.99 -02:00;Flow;Agendar - Push
175;carnabelo@msging.net;2018-02-02 14:10:54.10 -02:00;Flow;Bloco - Agendado
176;carnabelo@msging.net;2018-02-02 14:14:24.44 -02:00;Flow;Boas vindas
177;carnabelo@msging.net;2018-02-02 14:14:40.96 -02:00;Flow;Objetivo - Beber
178;carnabelo@msging.net;2018-02-02 14:14:41.06 -02:00;Objetivo;Beber
179;carnabelo@msging.net;2018-02-02 14:14:43.26 -02:00;Flow;Intro
180;carnabelo@msging.net;2018-02-02 14:14:47.40 -02:00;Flow;Menu
181;carnabelo@msging.net;2018-02-02 14:15:06.86 -02:00;Flow;Boas vindas
182;carnabelo@msging.net;2018-02-02 14:15:07.75 -02:00;Flow;Fallback - Nome de Bloco
183;carnabelo@msging.net;2018-02-02 14:15:07.87 -02:00;Flow;Fallback  - IA
184;carnabelo@msging.net;2018-02-02 14:15:08.62 -02:00;Flow;IA - OQueVaiTer
185;carnabelo@msging.net;2018-02-02 14:15:08.75 -02:00;Flow;Intro - Pesquisa por dia
186;carnabelo@msging.net;2018-02-02 14:15:09.87 -02:00;Flow;Selecionar data
187;carnabelo@msging.net;2018-02-02 14:15:19.27 -02:00;Pesquisa - Dia;03/02/2018
188;carnabelo@msging.net;2018-02-02 14:15:19.49 -02:00;Flow;API -  Carrossel - Bairro
189;carnabelo@msging.net;2018-02-02 14:15:25.12 -02:00;Flow;Objetivo - Beber
190;carnabelo@msging.net;2018-02-02 14:15:25.23 -02:00;Objetivo;Beber
191;carnabelo@msging.net;2018-02-02 14:15:26.95 -02:00;Flow;API  - Carrossel blocos  - Agenda
192;carnabelo@msging.net;2018-02-02 14:15:27.03 -02:00;Pesquisa - Bairro;Floresta
193;carnabelo@msging.net;2018-02-02 14:15:27.31 -02:00;Flow;Intro
194;carnabelo@msging.net;2018-02-02 14:15:31.41 -02:00;Flow;Menu
195;carnabelo@msging.net;2018-02-02 14:15:37.12 -02:00;Flow;API - Consultar blocos hoje
196;carnabelo@msging.net;2018-02-02 14:15:37.27 -02:00;Flow;Intro - O que tem hoje
197;carnabelo@msging.net;2018-02-02 14:15:38.36 -02:00;Flow;API  - Carrossel blocos -  Hoje
198;carnabelo@msging.net;2018-02-02 14:16:02.15 -02:00;Flow;Respostas para carrossel
199;carnabelo@msging.net;2018-02-02 14:16:02.33 -02:00;Flow;API - Buscar info do bloco
200;carnabelo@msging.net;2018-02-02 14:16:02.64 -02:00;Flow;API - Como Chegar
201;carnabelo@msging.net;2018-02-02 14:16:02.78 -02:00;Como chegar;Energia na Folia
202;carnabelo@msging.net;2018-02-02 14:17:22.65 -02:00;Flow;API  - Consultar - Meus blocos
203;carnabelo@msging.net;2018-02-02 14:17:22.79 -02:00;Flow;Sem blocos salvos
204;carnabelo@msging.net;2018-02-02 14:17:31.52 -02:00;Flow;Selecionar data
205;carnabelo@msging.net;2018-02-02 14:17:36.67 -02:00;Pesquisa - Dia;10/02/2018
206;carnabelo@msging.net;2018-02-02 14:17:36.78 -02:00;Flow;API -  Carrossel - Bairro
207;carnabelo@msging.net;2018-02-02 14:17:41.67 -02:00;Flow;API  - Carrossel blocos  - Agenda
208;carnabelo@msging.net;2018-02-02 14:17:41.76 -02:00;Pesquisa - Bairro;Centro
209;carnabelo@msging.net;2018-02-02 14:17:49.28 -02:00;Flow;Respostas para carrossel
210;carnabelo@msging.net;2018-02-02 14:17:49.49 -02:00;Flow;API  - Carrossel blocos  - Agenda
211;carnabelo@msging.net;2018-02-02 14:17:49.56 -02:00;Pesquisa - Bairro;Santa Tereza
212;carnabelo@msging.net;2018-02-02 14:23:31.63 -02:00;Flow;API  - Consultar - Meus blocos
213;carnabelo@msging.net;2018-02-02 14:23:31.79 -02:00;Flow;API - Carrossel - Meus blocos
214;carnabelo@msging.net;2018-02-02 14:24:37.51 -02:00;Flow;Boas vindas
215;carnabelo@msging.net;2018-02-02 14:24:56.35 -02:00;Flow;API  - Consultar - Meus blocos
