MessageSequentialID;StorageDate;FromIdentity;ToIdentity;Message;MessageOriginator
73719;2018-02-02 13:51:58.78 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;comecar;User
73722;2018-02-02 13:52:00.92 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;E ai Alan Pierre, o carnaval de BH já começou 🎉 🎭;Bot
73723;2018-02-02 13:52:03.90 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Se você não sabe onde ir, posso te ajudar com isso.;Bot
73726;2018-02-02 13:52:10.64 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;beber;User
73729;2018-02-02 13:52:12.07 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;"🎵 Você pensa que cachaça é água?
Cachaça não é água não.🍺
";Bot
73730;2018-02-02 13:52:13.07 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Beber pode? Claro que pode!! Se for catuaçaÍ, melhor ainda.. só não pode dirigir depois, hein? 🚕 🚎 🚈;Bot
73732;2018-02-02 13:52:17.26 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;"Tenho essas opções para te ajudar a encontrar um bloquinho de carnaval⬇
";Bot
73735;2018-02-02 13:52:24.46 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;MenuAgenda;User
73738;2018-02-02 13:52:35.18 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;10/02/2018;User
73740;2018-02-02 13:52:36.57 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
73795;2018-02-02 13:52:46.18 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
73802;2018-02-02 13:53:00.02 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;qual o seu nome;User
73804;2018-02-02 13:53:03.08 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Meu nome é Bonifácio. ;Bot
73806;2018-02-02 13:53:05.03 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;Mas pra vc eu sou facin, facin.  😉😘;Bot
73810;2018-02-02 13:53:13.24 -02:00;1454345038013757@messenger.gw.msging.net;carnabelo@msging.net;quero sexo;User
73812;2018-02-02 13:53:15.66 -02:00;carnabelo@msging.net;1454345038013757@messenger.gw.msging.net;"Vai alongar a folia de maneira mais quente🔥? Não esqueça a camisinha! Já tem muito Enzo e Valentina por aí!
";Bot
73885;2018-02-02 14:01:20.53 -02:00;2132001316817479@messenger.gw.msging.net;carnabelo@msging.net;oi;User
73887;2018-02-02 14:01:23.94 -02:00;carnabelo@msging.net;2132001316817479@messenger.gw.msging.net;Boa tarde! 😃;Bot
73889;2018-02-02 14:01:24.63 -02:00;1897852826951893@messenger.gw.msging.net;carnabelo@msging.net;Outros blocos;User
73890;2018-02-02 14:01:25.08 -02:00;carnabelo@msging.net;2132001316817479@messenger.gw.msging.net;Já estou em clima de carnaval   🎉😎;Bot
73893;2018-02-02 14:01:26.30 -02:00;carnabelo@msging.net;2132001316817479@messenger.gw.msging.net;Vem comigo, que vc vai se dar bem.  #CaiNaFoliaBH;Bot
73897;2018-02-02 14:01:29.88 -02:00;1897852826951893@messenger.gw.msging.net;carnabelo@msging.net;10/02/2018;User
73899;2018-02-02 14:01:31.48 -02:00;carnabelo@msging.net;1897852826951893@messenger.gw.msging.net;Dê uma olhada em alguns bairros que vão ter blocos 👇 . ;Bot
73901;2018-02-02 14:01:32.12 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;Opa;User
73904;2018-02-02 14:01:33.98 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Boa tarde! 😃;Bot
73907;2018-02-02 14:01:35.09 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net;Já estou em clima de carnaval   🎉😎;Bot
73910;2018-02-02 14:01:36.31 -02:00;carnabelo@msging.net;1767958763279497@messenger.gw.msging.net; Olha o que separei para vc aproveitar o máximo em BH. #CaiNaFoliaBH;Bot
73912;2018-02-02 14:01:36.72 -02:00;carnabelo@msging.net;1897852826951893@messenger.gw.msging.net;Olha os blocos que encontrei para vc 👀 ;Bot
73920;2018-02-02 14:01:57.61 -02:00;1732492270146530@messenger.gw.msging.net;carnabelo@msging.net;📅 Agenda;User
73921;2018-02-02 14:01:58.05 -02:00;1767958763279497@messenger.gw.msging.net;carnabelo@msging.net;MenuHoje;User
